FACEBOOK;"www.facebook.com"
INSTAGRAM;"www.instagram.com"
GLOBO;"www.globo.com"
GOOGLE;"www.google.com"
LINKEDIN;"www.linkedin.com"
YOUTUBE;"www.youtube.com"
G1;"g1.globo.com"
MAGALU;"www.magazineluiza.com.br"
GMAIL;"www.gmail.com"
NETFLIX;"www.netflix.com"
KINGHOST;"www.king.host"
UOL;"www.uol.com"
PRIMEVIDEO;"www.primevideo.com"
VIMEO;"vimeo.com"
NTPBR;"ntp.br"
TWICHTV;"www.twitch.tv"
WHATSAPP;"www.whatsapp.com"
MERCADOLIVRE;"www.mercadolivre.com.br"
GLOBOPLAY;"globoplay.globo.com"
XBOXLIVE;"www.xbox.com"
ITAU;"www.itau.com.br"
BANCOINTER;"www.bancointer.com.br"
NUBANK;"nubank.com.br"
